track_id,path,split,moodtheme_tags,genre_tags,scene_text,music_description
track_1021915,15/1021915.mp3,train,emotional,easylistening|newage,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.","mood/theme: emotional; genre: easylistening, newage"
track_1298276,76/1298276.mp3,train,dark|dramatic,classical|orchestral|soundtrack,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.","mood/theme: dark, dramatic; genre: classical, orchestral, soundtrack"
track_1287056,56/1287056.mp3,train,sad,classical|newage,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels sad. The musical atmosphere should lean toward classical, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is medium.","mood/theme: sad; genre: classical, newage"
track_0442602,02/442602.mp3,train,film,chillout|easylistening|electronic|soundtrack,"A short film scene showing a tense scene before an important decision. The scene needs background music that feels film. The musical atmosphere should lean toward chillout, easylistening, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: film; genre: chillout, easylistening, electronic, soundtrack"
track_1066503,03/1066503.mp3,train,advertising|happy|positive|uplifting,pop,"A short film scene showing a bright outdoor scene where the character starts to feel hopeful. The scene needs background music that feels advertising, happy, positive, uplifting. The musical atmosphere should lean toward pop. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: advertising, happy, positive, uplifting; genre: pop"
track_0620607,07/620607.mp3,train,cool,ambient|chillout|electronic,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels cool. The musical atmosphere should lean toward ambient, chillout, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: cool; genre: ambient, chillout, electronic"
track_0250990,90/250990.mp3,train,dream,,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels dream. The musical atmosphere should lean toward cinematic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",mood/theme: dream; genre: 
track_0843208,08/843208.mp3,train,meditative,folk|newage|orchestral|world,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, orchestral. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.","mood/theme: meditative; genre: folk, newage, orchestral, world"
track_1372069,69/1372069.mp3,train,dark,club|experimental|soundtrack,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels dark. The musical atmosphere should lean toward club, experimental, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.","mood/theme: dark; genre: club, experimental, soundtrack"
track_1314750,50/1314750.mp3,train,corporate|motivational,dance|house|trance,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels corporate, motivational. The musical atmosphere should lean toward dance, house, trance. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: corporate, motivational; genre: dance, house, trance"
track_0769426,26/769426.mp3,train,meditative,folk|newage|soundtrack|world,"A short film scene showing a quiet conversation where something remains unsaid. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.","mood/theme: meditative; genre: folk, newage, soundtrack, world"
track_1319785,85/1319785.mp3,train,epic|movie,orchestral|soundtrack,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels epic, movie. The musical atmosphere should lean toward orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.","mood/theme: epic, movie; genre: orchestral, soundtrack"
track_1157302,02/1157302.mp3,train,romantic,jazz|soundtrack,"A short film scene showing a lonely interior scene with very little dialogue. The scene needs background music that feels romantic. The musical atmosphere should lean toward jazz, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: romantic; genre: jazz, soundtrack"
track_1244794,94/1244794.mp3,train,epic|film,choir|orchestral|soundtrack,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels epic, film. The musical atmosphere should lean toward choir, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.","mood/theme: epic, film; genre: choir, orchestral, soundtrack"
track_0126121,21/126121.mp3,train,soundscape,ambient|easylistening|progressive|psychedelic|worldfusion,"A short film scene showing a person looking at old photos and remembering the past. The scene needs background music that feels soundscape. The musical atmosphere should lean toward ambient, easylistening, progressive. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: soundscape; genre: ambient, easylistening, progressive, psychedelic, worldfusion"
track_0020536,36/20536.mp3,train,fun,alternative|easylistening|ethno|indie|pop|world,"A short film scene showing a light montage showing small moments of everyday happiness. The scene needs background music that feels fun. The musical atmosphere should lean toward alternative, easylistening, ethno. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: fun; genre: alternative, easylistening, ethno, indie, pop, world"
track_1356770,70/1356770.mp3,train,dark,electronic|industrial|trance,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels dark. The musical atmosphere should lean toward electronic, industrial, trance. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.","mood/theme: dark; genre: electronic, industrial, trance"
track_0742884,84/742884.mp3,train,epic|powerful|trailer,soundtrack,"A short film scene showing a training montage where the character pushes past their limit. The scene needs background music that feels epic, powerful, trailer. The musical atmosphere should lean toward soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel fast, and the emotional tension is high.","mood/theme: epic, powerful, trailer; genre: soundtrack"
track_0840599,99/840599.mp3,train,happy,poprock|rock,"A short film scene showing a bright outdoor scene where the character starts to feel hopeful. The scene needs background music that feels happy. The musical atmosphere should lean toward poprock, rock. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: happy; genre: poprock, rock"
track_0625211,11/625211.mp3,train,relaxing,jazz,"A short film scene showing a person looking at old photos and remembering the past. The scene needs background music that feels relaxing. The musical atmosphere should lean toward jazz. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.",mood/theme: relaxing; genre: jazz
